Error rate computed: 0.000000 	 epsilon: 0.388326
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 4.860343 	 epsilon: 0.453047
Error rate computed: 4.860343 	 epsilon: 0.000000
Error rate computed: 4.860343 	 epsilon: 0.000000
Error rate computed: 4.860343 	 epsilon: 0.000000
Error rate computed: 4.860343 	 epsilon: 0.000000
Error rate computed: 4.860343 	 epsilon: 0.000000
Error rate computed: 4.860343 	 epsilon: 0.000000
Error rate computed: 4.860343 	 epsilon: 0.000000
Error rate computed: 4.860343 	 epsilon: 0.000000
Error rate computed: 4.860343 	 epsilon: 0.000000
Error rate computed: 4.860343 	 epsilon: 0.000000
Error rate computed: 4.860343 	 epsilon: 0.000000
Error rate computed: 4.860343 	 epsilon: 0.000000
Error rate computed: 4.860343 	 epsilon: 0.000000
Error rate computed: 4.860343 	 epsilon: 0.000000
Error rate computed: 4.860343 	 epsilon: 0.000000
Error rate computed: 4.860343 	 epsilon: 0.000000
